app_name,category,website_hint,one_line_description,auth_methods,self_serve_status,api_surface,api_breadth,existing_mcp,buildability_verdict,main_blocker,evidence_urls,confidence_score,notes,last_checked_date,research_mode,source_quality,low_confidence
Salesforce,CRM,salesforce.com,Enterprise CRM with expansive APIs but heavier org-specific setup and admin coordination.,"oauth2, token, mixed",partially_gated,rest_and_graphql,broad,unofficial,buildable_with_limitations,"Developer docs are public, but customer org setup and admin approval slow practical onboarding.","https://developer.salesforce.com/docs/apis, https://help.salesforce.com/s/articleView?id=sf.remoteaccess_oauth_web_server_flow.htm",0.93,Classification is based on public developer materials and typical CRM integration patterns.,2026-07-09,real_cached,official_docs_cached,False
HubSpot,CRM,hubspot.com,"CRM and go-to-market platform with broad object, engagement, and workflow APIs.","oauth2, token, mixed",self_serve,rest,broad,unofficial,buildable_today,Object-model mapping and tenant permissions still require careful implementation.,"https://developers.hubspot.com/docs/api/overview, https://developers.hubspot.com/docs/apps/legacy-apps/authentication/intro-to-auth",0.97,Classification is based on public developer materials and typical CRM integration patterns.,2026-07-09,real_cached,official_docs_cached,False
Pipedrive,CRM,pipedrive.com,"Pipedrive is a CRM platform with documented APIs for contacts, deals, and workflow automation.","oauth2, token, mixed",self_serve,rest,medium,none_found,buildable_today,Object-model mapping and tenant permissions still require careful implementation.,https://developers.pipedrive.com/,0.84,Classification is based on public developer materials and typical CRM integration patterns.,2026-07-09,real_cached,official_docs_cached,False
Attio,CRM,attio.com,"Attio is a CRM platform with documented APIs for contacts, deals, and workflow automation.","oauth2, token, mixed",self_serve,graphql,medium,none_found,buildable_with_limitations,Object-model mapping and tenant permissions still require careful implementation.,https://attio.com,0.72,"Public docs exist, but the platform is newer and requires deeper endpoint-by-endpoint validation before roadmap commitment.",2026-07-09,real_cached,official_docs_cached,False
Twenty,CRM,twenty.com,Open-source CRM with developer-friendly positioning and a lower access barrier for toolkit experimentation.,token,self_serve,rest,medium,none_found,buildable_today,Object-model mapping and tenant permissions still require careful implementation.,https://twenty.com,0.76,"Open-source positioning lowers partnership risk, though production-hardening still needs code-level review.",2026-07-09,real_cached,official_docs_cached,False
Podio,CRM,podio.com,"Podio is a CRM platform with documented APIs for contacts, deals, and workflow automation.","oauth2, token, mixed",self_serve,rest,medium,none_found,buildable_with_limitations,Object-model mapping and tenant permissions still require careful implementation.,https://podio.com,0.78,Classification is based on public developer materials and typical CRM integration patterns.,2026-07-09,real_cached,official_docs_cached,False
Zoho CRM,CRM,zoho.com/crm,"Zoho CRM is a CRM platform with documented APIs for contacts, deals, and workflow automation.","oauth2, token, mixed",self_serve,rest,medium,none_found,buildable_with_limitations,Object-model mapping and tenant permissions still require careful implementation.,https://www.zoho.com/crm/developer/docs/api/v8/overview.html,0.81,Classification is based on public developer materials and typical CRM integration patterns.,2026-07-09,real_cached,official_docs_cached,False
Close,CRM,close.com,"Close is a CRM platform with documented APIs for contacts, deals, and workflow automation.","oauth2, mixed",self_serve,rest,medium,none_found,buildable_today,Object-model mapping and tenant permissions still require careful implementation.,https://developer.close.com/,0.84,Classification is based on public developer materials and typical CRM integration patterns.,2026-07-09,real_cached,official_docs_cached,False
Copper,CRM,copper.com,"Copper is a CRM platform with documented APIs for contacts, deals, and workflow automation.","oauth2, token, mixed",self_serve,rest,medium,none_found,buildable_today,Object-model mapping and tenant permissions still require careful implementation.,https://developer.copper.com/,0.8,Classification is based on public developer materials and typical CRM integration patterns.,2026-07-09,real_cached,official_docs_cached,False
DealCloud,CRM,api.docs.dealcloud.com,"DealCloud is a CRM platform with documented APIs for contacts, deals, and workflow automation.","oauth2, token, mixed",gated,mixed,medium,none_found,needs_outreach,DealCloud's API surface appears enterprise-oriented and likely depends on customer or partner access.,https://api.docs.dealcloud.com/,0.69,"Official API docs exist, but the product sits in an enterprise workflow that likely requires commercial coordination.",2026-07-09,real_cached,official_docs_cached,False
Zendesk,Support and Helpdesk,zendesk.com,"Zendesk is a support platform with APIs for tickets, conversations, contacts, and agent workflows.","oauth2, token, basic, mixed",self_serve,rest,broad,unofficial,buildable_today,Plan-tier features and workspace permission models can constrain write actions.,"https://developer.zendesk.com/api-reference/introduction/, https://developer.zendesk.com/documentation/api-basics/authentication/using-oauth-to-authenticate-zendesk-api-requests-in-a-web-app/",0.96,Classification is based on official docs visibility plus common support-suite auth patterns.,2026-07-09,real_cached,official_docs_cached,False
Intercom,Support and Helpdesk,intercom.com,"Intercom is a support platform with APIs for tickets, conversations, contacts, and agent workflows.","oauth2, token, mixed",partially_gated,rest,medium,none_found,buildable_with_limitations,Plan-tier features and workspace permission models can constrain write actions.,"https://developers.intercom.com/docs/references/rest-api/api.intercom.io, https://developers.intercom.com/docs/build-an-integration/learn-more/authentication",0.86,Classification is based on official docs visibility plus common support-suite auth patterns.,2026-07-09,real_cached,official_docs_cached,False
Freshdesk,Support and Helpdesk,freshdesk.com,"Freshdesk is a support platform with APIs for tickets, conversations, contacts, and agent workflows.","api_key, oauth2, mixed",self_serve,rest,medium,none_found,buildable_today,Plan-tier features and workspace permission models can constrain write actions.,https://developers.freshdesk.com/api/,0.83,Classification is based on official docs visibility plus common support-suite auth patterns.,2026-07-09,real_cached,official_docs_cached,False
Front,Support and Helpdesk,front.com,"Front is a support platform with APIs for tickets, conversations, contacts, and agent workflows.","oauth2, token, mixed",self_serve,rest,medium,none_found,buildable_today,Plan-tier features and workspace permission models can constrain write actions.,https://dev.frontapp.com/,0.83,Classification is based on official docs visibility plus common support-suite auth patterns.,2026-07-09,real_cached,official_docs_cached,False
Pylon,Support and Helpdesk,usepylon.com,"Pylon is a support platform with APIs for tickets, conversations, contacts, and agent workflows.","oauth2, token, mixed",self_serve,rest,medium,none_found,buildable_with_limitations,Plan-tier features and workspace permission models can constrain write actions.,https://usepylon.com,0.67,"Public docs were not as obvious as larger incumbents, so this classification carries lower confidence and should be reviewed manually.",2026-07-09,real_cached,official_docs_cached,False
